"price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
580000,3,2.5,1590,1937,2.5,0,0,3,8,1590,2004,0,98116,47.5903,-122.388,1620,2022
345000,3,2,1430,4200,1,0,0,4,7,830,1908,0,98199,47.6462,-122.384,1540,5000
480000,4,1,2080,5500,1,0,0,3,7,1040,1941,0,98117,47.6838,-122.386,1280,4000
580000,6,2.5,3596,13700,1,0,0,5,8,1798,1964,0,98166,47.4388,-122.339,1894,10500
271000,4,1.75,1710,7200,1,0,0,5,7,910,1975,0,98031,47.3967,-122.174,1730,7200
299950,3,1.5,1940,8951,1,0,0,3,7,1300,1958,0,98168,47.473,-122.328,2000,8319
257200,3,2,1850,8250,1,0,0,4,7,1150,1952,0,98002,47.3066,-122.209,1580,7153
590000,4,4.25,2360,57514,2,0,0,4,8,2360,1939,1987,98003,47.2843,-122.294,2037,35733
340000,3,1,3180,27586,1,0,0,3,8,1400,1969,0,98022,47.1986,-121.967,2180,27586
299000,3,2.5,2450,7062,2,0,0,3,8,2450,1993,0,98023,47.3061,-122.36,1960,7200
465000,5,1.5,1750,12491,1,0,0,3,6,1390,1961,0,98033,47.6995,-122.174,1560,12473
150000,2,1,720,212137,1,0,0,3,5,720,1982,0,98058,47.422,-122.066,2010,109642
695000,4,2.5,3010,11393,2,0,0,3,8,3010,2005,0,98028,47.7389,-122.221,2810,11282
2e+05,3,1.5,1090,9600,1,0,0,4,7,1090,1968,0,98042,47.3639,-122.109,1240,9620
280000,2,1.5,800,1196,2,0,0,3,8,800,2003,0,98103,47.6972,-122.341,1020,1087
356000,4,2,2020,48693,1.5,0,0,3,7,2020,1949,0,98045,47.4646,-121.759,1610,34900
625000,3,2.25,1970,4564,1,0,0,3,8,1470,1959,0,98199,47.6703,-122.41,1980,5000
367777,5,3,2140,5937,1,0,0,3,7,1280,1978,0,98118,47.5459,-122.27,1820,6710
2890000,4,4,5780,7173,2,0,0,3,11,4130,2008,0,98112,47.6374,-122.288,3930,7994
270000,4,2.5,2490,11650,1,0,0,3,7,1390,1990,0,98148,47.4416,-122.332,2010,10495
408500,4,2.5,2720,7043,2,0,0,3,9,2720,2003,0,98092,47.3315,-122.169,2640,6958
550000,4,1.75,2410,8447,2,0,3,4,8,2060,1936,1980,98074,47.6499,-122.088,2520,14789
735000,5,2.75,3390,5211,2,0,0,3,9,3390,2004,0,98075,47.5977,-121.981,3210,5211
820000,3,1.75,2160,6272,1,0,0,4,8,1390,1960,0,98115,47.6777,-122.306,1290,5376
494000,4,2.25,1790,42000,1,0,0,3,7,1170,1983,0,98045,47.4819,-121.744,2060,50094
465000,4,1.75,1730,11700,1,0,0,3,7,880,1956,0,98008,47.6031,-122.13,1570,7820
389000,2,2,1340,4122,1,0,0,3,8,1340,2007,0,98053,47.7182,-122.022,1350,4273
192950,3,1,1170,3330,2,0,0,4,6,1170,1969,0,98092,47.3155,-122.182,1090,3330
899100,5,2.5,2410,15300,1,0,0,4,8,1400,1975,0,98040,47.5416,-122.231,2440,15300
346950,3,1.75,1830,10954,1,0,0,3,7,1830,1963,0,98155,47.7554,-122.306,1850,8624
191000,3,1,990,8255,1,0,0,3,7,990,1953,0,98148,47.425,-122.331,1180,9750
249950,4,1.75,1620,10530,1,0,0,3,7,1620,1968,0,98030,47.3808,-122.211,1890,9975
360000,3,2,1930,15540,1,0,0,3,8,1260,1958,0,98155,47.7675,-122.307,1900,12123
530000,2,1,840,3400,1,0,2,4,7,840,1924,0,98119,47.6403,-122.372,2000,4000
221000,3,1,1240,5250,1.5,0,0,4,6,1240,1904,0,98055,47.4917,-122.206,1240,5250
412000,2,1.5,1240,3873,1,0,0,4,6,860,1909,0,98116,47.5752,-122.388,1240,4336
370000,3,2.5,2490,18525,2,0,3,3,8,2490,1995,0,98022,47.2119,-122.001,1850,9516
650000,4,2,1930,3976,1.5,0,0,4,8,1930,1914,0,98122,47.6117,-122.297,1470,4080
599900,3,1.5,2605,12030,1,0,0,3,8,1355,2003,0,98019,47.7725,-121.899,1590,15242
495000,3,2,2950,12196,2,0,0,4,7,2310,1918,0,98166,47.4702,-122.365,2320,19844
248500,4,1.75,1720,10018,1,0,0,5,7,1720,1960,0,98042,47.3614,-122.119,1220,10018
549000,2,1,2034,13392,1,1,4,5,7,1159,1947,0,98070,47.3312,-122.503,1156,15961
832500,3,2,1870,9527,1,0,0,4,7,1870,1951,1997,98040,47.5777,-122.224,1970,11904
895000,4,2.5,3480,38985,2,0,0,3,10,3480,1989,0,98053,47.6895,-122.052,3630,36290
239000,3,1.75,1470,8925,1,0,0,4,7,1470,1957,0,98022,47.2026,-122,1430,9282
322400,3,1.75,1710,15844,1,0,0,4,8,1710,1964,0,98059,47.4706,-122.1,1990,20359
395000,2,1.5,1010,3060,1,0,0,4,7,1010,1918,0,98103,47.6897,-122.354,1160,4080
610000,3,1,1000,4959,1,0,0,3,8,1000,1945,0,98105,47.6629,-122.277,2240,4959
474000,4,2.25,1960,14834,1,0,0,4,8,1330,1976,0,98072,47.7434,-122.095,1540,15000
303500,4,2.5,1920,7345,2,0,0,3,8,1920,1992,0,98038,47.3526,-122.055,1860,7364
294700,3,2,1970,9600,1,0,0,4,7,1300,1967,0,98003,47.2824,-122.301,1710,7703
675000,3,1.75,1680,10500,1,0,0,4,8,1680,1959,0,98005,47.6098,-122.169,2250,10400
638500,4,1.75,1770,12462,1,0,2,4,8,1770,1962,0,98166,47.4355,-122.338,2310,14810
329950,4,1,1360,5900,1.5,0,0,4,7,1360,1949,0,98155,47.7512,-122.318,1050,5900
640000,2,1.75,1760,4400,1,0,0,4,7,880,1930,0,98103,47.65,-122.34,1330,4180
345000,4,1,1980,7991,1.5,0,0,3,7,1980,1962,0,98058,47.4604,-122.17,1730,7700
530000,3,2.25,1264,1536,2,0,0,3,8,1264,2003,0,98105,47.6694,-122.279,1264,2067
536000,4,2.25,1990,5948,2,0,0,3,8,1990,1991,0,98029,47.5712,-121.995,2150,6459
835000,4,3.25,3270,6027,2,0,0,3,10,3270,2001,0,98074,47.6346,-122.063,3270,6546
152000,3,1,902,10464,1,0,0,3,7,902,1965,0,98198,47.363,-122.308,1510,7210
559000,2,2,1660,4500,1,0,0,3,8,1660,2003,0,98053,47.7094,-122.031,1670,5580
866000,4,3.25,3990,9786,2,0,0,3,9,3990,2004,0,98053,47.6784,-122.026,3920,8200
1517000,3,2.25,2610,9409,1,1,4,4,8,2610,1963,0,98075,47.5789,-122.076,2970,9156
555000,3,3,3760,188760,1,0,0,4,10,2640,1979,0,98092,47.308,-122.087,2820,50543
583000,3,2.5,1790,8144,2,0,0,3,8,1790,1989,0,98074,47.6169,-122.045,1800,7503
452000,2,1,1340,8100,1,0,2,3,8,1340,1950,0,98177,47.7212,-122.364,1680,7752
345950,3,2.5,2110,4118,2,0,0,3,8,2110,1989,0,98042,47.3878,-122.153,2110,4044
855000,4,3,3090,35074,2,0,0,3,9,3090,1978,0,98005,47.6359,-122.159,3120,35150
509007,3,1.75,1800,7620,1,0,0,3,8,1350,1951,0,98177,47.7165,-122.361,1770,7620
252000,3,2.5,1680,8284,2,0,0,3,7,1680,1989,0,98038,47.3609,-122.048,1550,8284
150000,3,1,890,6488,1.5,0,0,3,5,890,1928,0,98014,47.7087,-121.352,1330,16250
226000,3,1.75,1490,6269,1,0,0,4,6,990,1944,0,98056,47.4917,-122.188,1490,7722
407450,3,2,1810,10860,1,0,0,3,7,1810,1967,0,98053,47.6393,-121.967,1420,11982
610000,3,2.5,3440,18167,2,0,0,3,11,3440,1991,0,98023,47.2909,-122.342,3990,20239
367500,4,3,3110,7231,2,0,0,3,8,3110,1997,0,98092,47.3279,-122.191,2820,7311
239950,3,2.25,1560,8280,2,0,0,4,7,1560,1979,0,98001,47.3393,-122.259,1920,8120
430000,2,1.75,1840,14874,1,0,2,3,8,1300,1952,0,98166,47.4382,-122.348,2920,15084
850000,5,4,2980,4500,1.5,0,0,3,7,2070,1921,0,98115,47.6736,-122.323,1560,4225
356000,3,1,940,2366,1,0,0,3,6,940,1916,0,98107,47.6744,-122.383,1500,5000
502550,3,1.75,1770,7875,1,0,0,4,7,1170,1958,0,98008,47.606,-122.125,1670,8000
274000,2,1,820,6200,1,0,0,4,6,820,1954,0,98166,47.4163,-122.34,1410,14000
435000,3,2.5,1470,3000,1,0,0,3,7,930,1985,0,98115,47.6832,-122.286,1470,5588
424500,4,1.5,1830,6985,1,0,0,3,7,1080,1967,0,98028,47.7494,-122.236,1650,9501
750000,4,2.5,2510,17200,1,0,2,4,9,1540,1977,0,98052,47.6287,-122.089,2370,14621
875000,4,2.5,3230,256132,2,0,0,3,9,3230,2006,0,98053,47.6544,-121.998,3080,217800
361000,3,1,1100,4046,1.5,0,4,4,6,1100,1922,0,98198,47.344,-122.331,2550,7847
1775000,4,3.25,3730,7071,3,0,2,3,11,3730,1985,0,98109,47.6292,-122.355,3730,7680
1184000,4,2.5,3200,7500,1.5,0,1,5,8,1860,1948,0,98115,47.6826,-122.274,2500,6500
692500,3,2.5,2420,198198,2,0,0,3,9,2420,1997,0,98077,47.772,-122.022,2780,179467
499100,3,1.5,1620,5108,1,0,0,3,7,1620,1954,0,98115,47.6978,-122.316,1380,6130
548000,4,2.5,2440,11005,2,0,0,3,9,2440,1994,0,98056,47.5318,-122.176,2590,14754
960000,3,2.5,2010,6857,1,0,0,4,9,1450,1955,0,98102,47.6402,-122.314,2380,6370
258000,3,1,1490,7435,1,0,0,3,7,1120,1969,0,98198,47.368,-122.314,1490,7530
402000,3,2.5,1970,12205,2,0,0,4,8,1970,1990,0,98011,47.7397,-122.209,2640,9636
570000,3,2.25,2010,6000,1,0,0,3,8,1330,1975,0,98052,47.6912,-122.115,2080,8260
439888,2,2,1300,6515,1,0,0,3,8,1300,2005,0,98053,47.7078,-122.013,1640,6009
299995,3,2.5,1970,7500,2,0,0,3,8,1970,1988,0,98092,47.2658,-122.218,1950,8220
251000,3,2,1650,7930,1,0,0,4,7,1650,1989,0,98038,47.3617,-122.05,1510,7930
630000,2,2.5,2290,3507,2,0,0,3,9,2290,2005,0,98029,47.5545,-122.002,2290,3640
380000,4,1.5,1680,11123,1,0,0,3,7,1130,1959,0,98177,47.7565,-122.361,1770,10103
355000,4,2.5,1780,15000,2,0,0,2,7,1780,1993,0,98058,47.4239,-122.153,2005,9680
580000,5,2.5,2500,11900,1,0,0,3,7,1400,1963,0,98007,47.5915,-122.132,2820,11900
212000,1,1,620,7620,1,0,0,3,6,620,1926,0,98166,47.4697,-122.349,1160,7620
315000,2,1,770,6731,1,0,0,4,6,770,1943,0,98155,47.7505,-122.312,1120,9212
250000,4,1.5,1220,4900,1,0,0,3,6,1220,1942,0,98118,47.5292,-122.269,1410,3000
536000,3,2.5,1990,7397,2,0,0,3,9,1990,1993,0,98072,47.7703,-122.165,2210,7397
652500,4,2.5,2700,9122,2,0,0,3,9,2700,1990,0,98029,47.5771,-121.994,2500,9122
440000,3,1.75,2000,9900,1,0,2,4,8,1480,1957,0,98166,47.4436,-122.339,2310,10200
249900,2,1,560,7560,1,0,0,3,6,560,1944,0,98126,47.5271,-122.375,990,7560
312000,2,1,1170,5150,1,0,0,3,6,980,1907,0,98118,47.5503,-122.283,1660,5150
770000,4,3,2800,9127,2,0,0,3,9,2800,1999,0,98074,47.6123,-122.007,2780,8165
189000,3,1,860,5200,1,0,0,5,6,860,1969,0,98042,47.3677,-122.078,1010,5200
175000,3,1,1010,7034,1,0,0,3,7,1010,1954,0,98055,47.49,-122.22,1440,10994
225000,3,1.75,1460,8372,1,0,0,4,7,1460,1981,0,98042,47.3683,-122.087,1220,7803
235000,3,2,1530,8700,1,0,0,4,7,1530,1970,0,98055,47.4529,-122.207,1960,7600
279000,4,2,2200,7700,1,0,0,3,7,1100,1979,0,98058,47.464,-122.18,1790,7700
525000,5,3,2750,3800,1.5,0,0,5,7,1750,1926,0,98115,47.6845,-122.313,1900,3800
205000,3,1.5,1420,5000,1,0,0,3,7,920,1987,0,98198,47.4192,-122.33,1400,7500
340000,3,1.75,1740,10800,1,0,0,3,7,1740,1959,0,98133,47.7717,-122.351,1810,7735
250000,3,1.75,1200,24805,1,0,0,3,6,1200,1984,0,98031,47.4236,-122.195,2150,4339
299000,2,1.75,1250,34395,1,0,0,4,7,1250,1950,0,98003,47.2802,-122.316,1910,26042
698000,4,2.5,2990,7231,2,0,0,3,9,2990,2001,0,98075,47.5623,-122.032,3160,8339
585000,4,2,2400,12753,1,0,0,4,7,2400,1962,0,98033,47.6947,-122.177,1830,12060
310000,4,2.5,2660,12672,1,0,0,4,8,1740,1960,0,98003,47.3334,-122.323,2280,12477
585000,3,2.75,3080,7282,2,0,0,3,9,3080,2008,0,98059,47.4826,-122.149,3080,7274
790000,4,3,3180,12070,2,0,0,4,9,3180,1976,0,98074,47.6371,-122.058,3110,12600
415500,3,1.5,1240,12400,1,0,0,3,7,1240,1958,0,98007,47.607,-122.132,1640,9600
309900,3,2.5,2020,26670,2,0,0,3,7,2020,1987,0,98003,47.2597,-122.31,1680,10939
450000,4,2.25,2120,8267,2,0,0,3,8,2120,1996,0,98045,47.4885,-121.779,2150,7746
275000,2,1,680,4190,1,0,0,2,5,680,1906,0,98103,47.6901,-122.358,1070,4175
563250,3,1.75,1370,2800,1,0,0,5,7,800,1982,0,98122,47.6157,-122.291,2270,3773
505000,3,2.25,1670,1596,2,0,0,3,8,1220,2002,0,98199,47.6474,-122.396,1670,1596
425000,3,1.5,1300,19163,1,0,0,3,7,1300,1964,0,98052,47.6686,-122.153,1590,9744
1565000,4,2.75,2810,8570,2,0,0,3,10,2810,1993,0,98004,47.6159,-122.211,2810,9621
514000,3,1.75,1720,5899,1,0,1,3,8,1220,1986,0,98136,47.5399,-122.385,1900,6244
680000,4,2.5,3290,6012,2,0,0,3,9,3290,2005,0,98075,47.5961,-121.98,3210,6005
518000,5,1,1590,5000,1.5,0,0,3,7,1190,1929,0,98116,47.5752,-122.381,1590,5000
450000,3,1,1450,3350,1.5,0,0,4,7,1450,1919,0,98126,47.5607,-122.378,1340,4255
650000,5,2,1910,4667,1,0,0,3,7,1010,1908,0,98112,47.6236,-122.306,1230,2545
605000,4,2.5,2520,3980,2,0,0,3,8,2520,2004,0,98027,47.5399,-122.07,2580,3980
555000,4,2.5,2870,6776,2,0,0,3,8,2870,2004,0,98065,47.539,-121.878,2770,6658
375000,3,1,1870,7671,1,0,0,4,8,1720,1937,0,98177,47.7162,-122.36,1460,7679
435000,3,3,1440,1350,3.5,0,2,3,8,1440,2005,0,98103,47.6525,-122.345,1440,1350
319000,3,2.5,2110,7434,2,0,0,4,7,2110,1978,0,98031,47.3935,-122.169,2100,7749
670000,3,1.5,1220,4080,1.5,0,0,5,7,1220,1914,0,98144,47.5746,-122.289,1320,4080
268500,2,1,790,8424,1,0,0,4,6,790,1953,0,98133,47.7511,-122.352,1470,8424
338000,2,1,750,6439,1,0,0,4,6,750,1934,0,98103,47.6995,-122.354,1470,6374
354000,2,1,1390,7740,1,0,0,4,6,1390,1925,0,98126,47.5232,-122.371,1290,7740
329000,4,1,1120,3844,1,0,0,3,7,1120,1972,0,98133,47.7038,-122.352,1480,3844
433000,3,2.75,2000,7200,1,0,0,3,7,1000,1954,2014,98166,47.4531,-122.352,1440,7200
1084500,4,2.75,2640,5000,2,0,0,3,9,1840,1943,2004,98105,47.6619,-122.275,2010,5000
304950,2,1,670,6720,1,0,0,5,6,670,1942,0,98126,47.5151,-122.372,710,6720
1145000,3,2.5,2490,4000,2,0,0,5,8,1670,1918,0,98109,47.6403,-122.35,2310,4000
410000,4,1.75,1790,11875,1,0,0,4,7,1490,1969,0,98027,47.522,-122.047,1870,11760
385000,3,1.75,1560,14288,1,0,0,3,6,780,1944,0,98125,47.7183,-122.306,1320,8928
738000,3,1,1280,3900,1,0,0,4,7,1280,1921,0,98103,47.6545,-122.336,2020,4560
875000,5,4.25,4720,18741,2,0,0,3,11,3210,2005,0,98053,47.6347,-122.013,3880,37328
945000,4,2.25,2420,9000,1,0,4,5,9,2000,1967,0,98146,47.4884,-122.363,2400,9035
599000,3,1.75,1960,4788,1,0,0,4,7,1090,1920,0,98115,47.6746,-122.312,1960,3960
405000,2,2.5,1790,5400,2,0,0,4,8,1790,1979,0,98052,47.6606,-122.128,1700,5760
460000,2,1,1030,5934,1,0,0,4,7,1030,1928,0,98115,47.6828,-122.287,1420,5588
734000,4,2.75,3090,7650,2,0,2,3,8,2340,1959,1989,98042,47.3622,-122.157,2760,10370
395000,5,1.75,1840,10453,1,0,2,3,8,1360,1948,0,98166,47.4508,-122.368,2250,11250
207100,2,1,1000,4500,1,0,0,3,6,1000,1916,0,98055,47.4896,-122.204,980,4837
1175000,3,2.5,1970,23180,1,1,4,3,8,1100,1937,1998,98136,47.5495,-122.398,3030,34689
255000,3,1,1440,11330,1,0,0,3,7,1440,1965,0,98168,47.4742,-122.265,1580,10100
341000,3,1,1390,4814,1.5,0,0,3,6,1390,1908,0,98115,47.6881,-122.32,1730,3990
150000,2,1.5,1360,1934,2,0,0,4,7,1360,1978,0,98092,47.2857,-122.189,1360,1898
278000,2,2.5,1420,2229,2,0,0,3,7,1420,2004,0,98059,47.4871,-122.165,1500,2230
1078500,4,3.5,3740,41458,2,0,2,3,11,3740,2000,0,98072,47.7375,-122.139,3750,38325
533000,4,2.5,2590,6394,2,0,0,3,8,2590,2003,0,98028,47.7599,-122.233,2500,5328
565000,3,1.75,1720,2218,1.5,0,0,3,7,1270,1931,2003,98103,47.649,-122.335,1130,1600
495000,3,2.5,2577,156816,2,0,0,3,8,2577,2000,0,98092,47.2935,-122.108,2090,156816
2300000,4,3.25,4110,15929,2,1,4,3,12,2720,2001,0,98115,47.6934,-122.271,2640,15929
499000,4,2.5,1970,2601,2,0,0,3,7,1440,1999,0,98144,47.5949,-122.308,1760,3025
505000,2,1,1020,5000,1,0,0,4,7,1020,1916,0,98117,47.6781,-122.363,1480,5000
650000,4,2.75,1910,16532,1,0,0,4,7,1420,1940,0,98117,47.6952,-122.39,2300,8250
9e+05,5,3.75,4130,226076,2,0,0,3,9,3170,1985,0,98077,47.715,-122.065,4130,55321
215000,3,1,1180,9000,1,0,0,4,7,1180,1970,0,98031,47.39,-122.166,1290,8316
185000,3,1.75,1500,7800,1,0,0,3,7,1500,1968,0,98092,47.3141,-122.192,1490,7800
550000,3,1.75,1890,100623,1,0,3,3,8,1890,1978,0,98053,47.6454,-121.978,2110,50529
650000,4,2.5,2110,6820,1,0,0,5,7,1530,1942,0,98115,47.6882,-122.306,1420,6431
382500,4,2.5,2210,7079,2,0,0,3,8,2210,1993,0,98031,47.4206,-122.183,1970,7000
870000,4,2.5,3240,7621,2,0,2,3,9,3240,2003,0,98075,47.5641,-122.032,4610,7150
474950,3,2,2250,222156,1,0,0,3,7,2250,1987,0,98065,47.542,-121.792,2110,121968
1712750,5,2.5,2660,6572,1,0,0,5,9,1960,1959,0,98039,47.6176,-122.223,3960,14595
575000,3,1.75,2680,8625,1,0,0,5,8,1590,1974,0,98027,47.5316,-122.056,2620,14275
336500,4,2.5,2500,5264,2,0,0,3,7,2500,2003,0,98038,47.3853,-122.028,1960,5250
740000,4,2,2800,8540,1,0,0,4,8,1730,1977,0,98052,47.6869,-122.126,2470,9400
230000,3,1,880,7500,1,0,0,3,7,880,1978,0,98198,47.3837,-122.307,880,7500
583000,4,2.5,2660,4000,2,0,0,3,8,2660,2001,0,98053,47.6876,-122.038,2330,4517
199950,2,1,700,5200,1,0,0,5,5,700,1952,0,98056,47.4924,-122.174,970,5200
838400,4,2.5,2620,9525,2.5,0,0,4,9,2620,1974,0,98040,47.5631,-122.219,2580,9525
614950,3,1,1500,2400,1.5,0,0,5,7,1500,1900,0,98119,47.6333,-122.362,1780,3600
225000,3,1.5,1390,12500,1,0,0,4,6,1390,1976,0,98014,47.6496,-121.908,1390,9000
395000,3,2.5,2300,8938,2,0,0,3,9,2300,1989,0,98031,47.4181,-122.211,2570,9694
429000,3,1,1540,37950,1,0,0,4,7,1090,1959,0,98001,47.3259,-122.289,1820,24375
435010,3,1,1270,4000,1,0,0,3,7,1120,1954,0,98106,47.5293,-122.354,1220,4600
257500,3,1,1690,13825,1,0,0,3,7,1210,1955,0,98148,47.4256,-122.322,1190,9450
860000,4,2.5,3560,11119,1,0,2,3,10,2290,1986,0,98004,47.6456,-122.19,3290,11385
450000,3,1,1540,9028,1,0,0,4,6,1540,1968,0,98033,47.6698,-122.177,1450,9028
1100000,3,2,2390,6888,2,0,1,5,8,2390,1939,0,98115,47.6839,-122.274,2390,7920
450000,3,2.25,1940,8312,1,0,1,4,7,1220,1963,0,98166,47.4556,-122.346,2060,9503
